序號,標題,地址,價格,價格單位,房屋類型,格局,坪數,樓層,連結,抓取時間,可住人數,身份要求,緯度,經度,設施,冰箱,洗衣機,電視,冷氣,熱水器,床,衣櫃,第四台,網路WiFi,天然瓦斯,沙發,桌椅,陽台,電梯,車位,浴缸
1,★台北車站★捷運特區旁★五星飯店式★獨棟電梯★安全安靜乾淨★,大同區-延平北路一段69巷13號,18000,元/月,私人套房,,8坪,3F/5F,https://rent.591.com.tw/21515416,2026-07-17 23:52:50,2人,學生、上班族、家庭,25.0517641,121.5127261,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、沙發、桌椅、電梯、車位,有,有,有,有,有,有,有,有,有,無,有,有,無,有,有,
2,101視野🌾明亮通風❄松山MRT。松山火車站。🩵饒河商圈,松山區-八德路四段650號,45000,元/月,整棟出租,2房1廳,27坪,8F/13F,https://rent.591.com.tw/18001177,2026-07-17 23:52:50,2人,,25.0489605,121.5726966,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,有,有,有,有,有,無,
3,『寓居獨家』科技大樓｜自住百萬精緻裝潢｜誠議,大安區-復興南路二段193巷,82000,元/月,整棟出租,3房2廳,43坪,17F/17F,https://rent.591.com.tw/21606045,2026-07-17 23:52:50,3人,學生、上班族、家庭,25.0264576,121.5453959,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,有,有,
4,全新南京東正一房一廳/貓咪友善/,中山區-南京東路一段132巷,39000,元/月,私人套房,,15坪,7F/7F,https://rent.591.com.tw/17359797,2026-07-17 23:52:50,2人,,25.0506219,121.5263789,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,有,有,無,有,有,有,有,無,
5,【住商侯靜怡】捷運東門站乾淨明亮舒適,大安區-信義路二段,28000,元/月,私人套房,樓中樓,8.2坪,12F/13F,https://rent.591.com.tw/21592621,2026-07-17 23:52:50,2人,學生、上班族、家庭,,,冰箱、洗衣機、電視、冷氣、熱水器、衣櫃、沙發、桌椅、電梯,有,有,有,有,有,無,有,無,無,無,有,有,無,有,無,
6,NTU台大科技大樓採光2房/大露台開伙English,大安區-和平東路二段96巷,32999,元/月,整棟出租,2房1廳,18坪,頂樓加蓋/4F,https://rent.591.com.tw/21535121,2026-07-17 23:52:50,2人,學生、上班族、家庭,25.024387,121.5427083,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、網路WiFi、沙發、桌椅、陽台,有,有,有,有,有,有,有,無,有,無,有,有,有,無,無,
7,6間可選💥遠企靜巷～新裝潢🍎可雙租補、免追垃圾車✅,大安區-安和路二段189巷11號,13680,元/月,共用套房,,8坪,3F/4F,https://rent.591.com.tw/21476267,2026-07-17 23:52:50,1人,學生、上班族、家庭,,,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、網路WiFi、天然瓦斯、沙發、桌椅、陽台,有,有,有,有,有,有,有,無,有,有,有,有,有,無,無,
8,臻品住宅⭐生活便捷無憂⭐敬業三路⭐3房2廳2,中山區-敬業三路162巷,52000,元/月,整棟出租,3房2廳,31坪,4F/10F,https://rent.591.com.tw/21590451,2026-07-17 23:52:50,3人,學生、上班族、家庭,25.0798445,121.5605999,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,有,有,
9,💓秒殺搶手1+1房/台水台電/家具全配,中山區-松江路188巷,46000,元/月,私人套房,,12坪,2F/6F,https://rent.591.com.tw/21538784,2026-07-17 23:52:50,2人,,25.0560749,121.5318582,電梯、車位,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,
10,南京復興生活圈｜寓居專任・家具全配,中山區-長安東路二段,70000,元/月,整棟出租,2房1廳,25坪,9F/14F,https://rent.591.com.tw/21571180,2026-07-17 23:52:50,2人,學生、上班族、家庭,25.0488242,121.5404374,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,有,有,有,有,有,無,
11,⭐秒殺/中山國小站/電梯管理/可貓/可租補機能套房⭐,中山區-吉林路,16000,元/月,私人套房,,7.5坪,2F/7F,https://rent.591.com.tw/21645939,2026-07-17 23:52:50,2人,學生、上班族、家庭,25.0654783,121.5311325,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、電梯,有,有,有,有,有,有,有,無,無,無,有,有,無,有,無,
12,民權西路站4號出口走2分鐘就到家,中山區-天祥路48巷22號,13500,元/月,共用套房,,7坪,3F/5F,https://rent.591.com.tw/21613105,2026-07-17 23:52:50,1人,學生、上班族、家庭,25.0617676,121.5201569,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、桌椅,有,有,無,有,有,有,有,無,無,無,無,有,無,無,無,
13,可寵｜忠孝新生採光電梯套房收垃圾Eng,中山區-松江路,19999,元/月,私人套房,,9坪,4F/12F,https://rent.591.com.tw/21540061,2026-07-17 23:52:50,2人,學生、上班族、家庭,25.0478342,121.5322836,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、桌椅、電梯,有,有,有,有,有,有,有,無,無,無,無,有,無,有,無,
14,北歐風精裝美感兩房/拎包入住/MRT民權西,中山區-撫順街,65000,元/月,整棟出租,2房1廳,21.2坪,2F/15F,https://rent.591.com.tw/21546745,2026-07-17 23:52:50,2人,學生、上班族、家庭,25.0628827,121.5204267,冰箱、洗衣機、電視、冷氣、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,無,有,有,無,無,有,有,有,有,有,有,
