listing_id,aspect,mentions,pos,neg,avg_score,neg_ratio,pos_ratio
68398,位置交通,10,9,1,1.5,0.1,0.9
68398,入住流程,1,0,0,0.0,0.0,0.0
68398,床與睡眠,3,3,0,2.0,0.0,1.0
68398,性價比,1,0,0,0.0,0.0,0.0
68398,房東服務,8,4,0,1.0,0.0,0.5
68398,早餐餐飲,2,0,0,0.0,0.0,0.0
68398,清潔,3,3,0,1.667,0.0,1.0
68398,空調冷氣,1,1,0,2.0,0.0,1.0
68398,空間大小,1,0,0,0.0,0.0,0.0
68398,網路WiFi,3,3,0,1.333,0.0,1.0
68398,衛浴熱水,2,1,0,1.0,0.0,0.5
68398,設備廚房,2,2,0,1.0,0.0,1.0
68398,隔音噪音,4,4,0,2.0,0.0,1.0
271733,位置交通,53,35,0,1.66,0.0,0.6604
271733,入住流程,6,2,0,0.833,0.0,0.3333
271733,床與睡眠,15,5,0,0.467,0.0,0.3333
271733,性價比,6,3,1,0.333,0.1667,0.5
271733,房東服務,50,37,1,1.74,0.02,0.74
271733,早餐餐飲,17,3,1,0.235,0.0588,0.1765
271733,清潔,24,22,0,2.0,0.0,0.9167
271733,空調冷氣,3,1,0,0.333,0.0,0.3333
271733,空間大小,25,19,2,1.36,0.08,0.76
271733,網路WiFi,7,3,0,0.571,0.0,0.4286
271733,衛浴熱水,6,4,0,0.667,0.0,0.6667
271733,設備廚房,17,7,0,0.529,0.0,0.4118
271733,隔音噪音,22,20,1,1.545,0.0455,0.9091
272314,位置交通,6,6,0,2.167,0.0,1.0
272314,入住流程,1,0,0,0.0,0.0,0.0
272314,床與睡眠,2,1,0,0.5,0.0,0.5
272314,性價比,2,1,0,0.5,0.0,0.5
272314,房東服務,6,5,0,1.5,0.0,0.8333
272314,早餐餐飲,1,1,0,1.0,0.0,1.0
272314,清潔,4,4,0,1.0,0.0,1.0
272314,空間大小,1,0,0,0.0,0.0,0.0
272314,網路WiFi,2,1,0,1.5,0.0,0.5
272314,衛浴熱水,2,0,1,-0.5,0.5,0.0
289296,位置交通,24,19,1,1.833,0.0417,0.7917
289296,入住流程,6,1,0,0.167,0.0,0.1667
289296,床與睡眠,8,4,0,0.75,0.0,0.5
289296,房東服務,13,10,0,1.615,0.0,0.7692
289296,早餐餐飲,7,0,0,0.0,0.0,0.0
289296,清潔,14,14,0,1.714,0.0,1.0
289296,空調冷氣,1,0,0,0.0,0.0,0.0
289296,空間大小,3,2,1,-0.333,0.3333,0.6667
289296,隔音噪音,2,0,1,-0.5,0.5,0.0
289298,位置交通,84,64,0,1.655,0.0,0.7619
289298,停車,3,2,0,2.333,0.0,0.6667
289298,入住流程,32,17,1,0.656,0.0312,0.5312
