listing_id,cal_start,n_days,booked_mask,booked_rate,booked_days,booked_rate_d30,booked_rate_d60,booked_rate_d90,gap_count_90d,gap_days_90d,gap_longest_90d,gap_first_start,gap_count_30d,gap_days_30d,gap_longest_30d,gap_first_start_30d,min_nights_median,min_nights_varies,is_longterm_only,is_all_blocked,is_all_open,m1_rate,m2_rate,m3_rate,m4_rate,m5_rate,m6_rate,m7_rate,m8_rate,m9_rate,m10_rate,m11_rate,m12_rate
68398,2026-07-01,365,11111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.273972602739726,100,0.23333333333333334,0.11666666666666667,0.07777777777777778,1,83,83,2026-07-08,1,23,23,2026-07-08,30.0,0,1,0,0,,0.2258,0.0,0.0,0.0,0.5333,1.0,1.0,0.5357,0.0,0.0,0.0
271733,2026-06-30,365,11111111111111111111111111111111111111111111111111111100000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.8986301369863013,328,1.0,0.8852459016393442,0.5934065934065934,1,37,37,2026-08-23,0,0,0,,12.0,0,0,0,0,1.0,1.0,0.7097,0.0667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
272314,2026-07-02,365,11111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.021917808219178082,8,0.27586206896551724,0.13559322033898305,0.0898876404494382,1,81,81,2026-07-10,1,21,21,2026-07-10,90.0,0,1,0,0,,0.2667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289296,2026-07-01,365,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0027397260273972603,1,0.03333333333333333,0.016666666666666666,0.011111111111111112,1,89,89,2026-07-02,1,29,29,2026-07-02,30.0,0,1,0,0,,0.0323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289298,2026-06-30,365,11111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0958904109589041,35,1.0,0.5737704918032787,0.38461538461538464,1,56,56,2026-08-04,0,0,0,,30.0,0,1,0,0,1.0,1.0,0.0968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646629,2026-06-30,365,11111111111111111111111111111111111111111111111111111000000011111110000000111100000000000000000000011111111110000111111000011000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.7287671232876712,266,1.0,0.8852459016393442,0.7032967032967034,3,27,13,2026-08-22,0,0,0,,2.0,0,0,0,0,1.0,1.0,0.7742,0.2667,0.5484,0.0333,0.129,1.0,1.0,1.0,1.0,1.0
718493,2026-06-30,365,11111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.6,219,1.0,0.5737704918032787,0.38461538461538464,1,56,56,2026-08-04,0,0,0,,30.0,0,1,0,0,1.0,1.0,0.0968,0.0,0.0,0.0,0.129,1.0,1.0,1.0,1.0,1.0
761561,2026-07-01,365,11111111110000000000000000011111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111000011111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.3589041095890411,131,0.43333333333333335,0.7166666666666667,0.4888888888888889,2,46,29,2026-07-11,1,17,17,2026-07-11,5.0,0,0,0,0,,0.4516,0.9677,0.0,0.0,0.2667,1.0,0.871,0.75,0.0,0.0,0.0
818650,2026-06-30,365,11111101111111111111111111111111100000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.915068493150685,334,0.967741935483871,0.5245901639344263,0.6593406593406593,1,30,30,2026-08-02,0,0,0,,10.0,0,0,0,0,1.0,0.9677,0.0323,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
869581,2026-07-02,365,11000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.005479452054794521,2,0.06896551724137931,0.03389830508474576,0.02247191011235955,1,87,87,2026-07-04,1,27,27,2026-07-04,364.0,0,1,0,0,,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
963051,2026-07-01,365,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6657534246575343,243,1.0,1.0,1.0,0,0,0,,0,0,0,,3.0,0,0,0,0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
983054,2026-06-30,365,11111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.030136986301369864,11,0.3548387096774194,0.18032786885245902,0.12087912087912088,1,80,80,2026-07-11,1,20,20,2026-07-11,31.0,0,1,0,0,1.0,0.3226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015037,2026-07-01,365,11111111111111111111111111111111111111111111111111111111111001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.410958904109589,150,1.0,0.9833333333333333,0.9777777777777777,0,0,0,,0,0,0,,30.0,0,1,0,0,,1.0,0.9355,1.0,1.0,0.9667,0.0,0.0,0.0,0.0,0.0,0.0
1037747,2026-07-02,365,11100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00821917808219178,3,0.10344827586206896,0.05084745762711865,0.033707865168539325,1,86,86,2026-07-05,1,26,26,2026-07-05,365.0,0,1,0,0,,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1072856,2026-06-30,365,11111011011111111111111111110010000000110000111000000000000011000000000000100000000000000000000000000111000000001000000000110000000001011100000110001000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.7095890410958904,259,0.8709677419354839,0.5409836065573771,0.38461538461538464,4,48,16,2026-07-31,0,0,0,,1.0,1,0,0,0,1.0,0.8387,0.2258,0.0333,0.1935,0.2333,1.0,1.0,1.0,1.0,1.0,1.0
1072857,2026-06-30,365,10001000000000000000000001000000000000000000001000100000000000000000000000000000000000000000000000000010000001010000000000000000111000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.6082191780821918,222,0.0967741935483871,0.08196721311475409,0.054945054945054944,3,80,40,2026-07-05,2,25,20,2026-07-05,1.0,1,0,0,0,1.0,0.0645,0.0645,0.0,0.0968,0.1,1.0,1.0,1.0,1.0,1.0,1.0
1094125,2026-07-01,365,11111111111111111111111111111000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111100000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.663013698630137,242,0.9666666666666667,0.48333333333333334,0.32222222222222224,1,61,61,2026-07-30,0,0,0,,21.0,0,0,0,0,,0.9355,0.0,0.0,0.9032,0.0,0.129,1.0,1.0,1.0,1.0,1.0
