id,host_id,latitude,longitude,neighbourhood_cleansed,room_type,Y_vacancy,Y_high_risk,accommodates,bedrooms,beds,bathrooms_count,is_shared_bath,price,minimum_nights,maximum_nights,min_nights_avg_ntm,instant_bookable,self_checkin,room_type_code,neighbourhood_code,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price_pctl_nbhd,score_pctl_nbhd,amenities_vs_median,nbr_density_1km,nbr_density_same_type_1km,host_acceptance_rate,host_response_rate,response_speed,host_is_superhost,host_listings_count,calculated_host_listings_count,host_tenure_days,desc_len,host_about_len,neighborhood_overview_len,amenities_count,hotel_count_1km,hotel_count_500m,airbnb_hotel_supply_ratio,price_per_person,price_per_bedroom,beds_per_person
68398,339014,25.0287746,121.55468591047,大安區,Entire home/apt,0.7095890410958904,1,1,1.0,1.0,1.0,False,1098.0,30,365,30.0,0,0,0,8,4.71,4.86,4.57,4.93,4.93,5.0,4.86,0.045454545454545456,0.2532786885245902,0.7878787878787878,452,301,0.82,1.0,3.0,1,3,3,5380,68,150,683,26,16,5,26.58823529411765,1098.0,1098.0,1.0
271733,242033,25.00581,121.55518,文山區,Entire home/apt,0.13424657534246576,0,2,2.0,2.0,1.0,False,1200.0,14,182,14.0,0,0,0,9,4.97,4.96,4.93,4.97,4.99,4.8,4.91,0.1794871794871795,0.6875,1.3703703703703705,23,18,0.67,1.0,2.0,1,1,1,5487,526,279,177,37,0,0,23.0,600.0,600.0,1.0
272314,1425203,25.04224,121.54265,大安區,Entire home/apt,0.9808219178082191,1,1,1.0,1.0,1.0,False,1220.0,90,1125,90.0,0,0,0,8,4.2,4.14,4.29,3.86,4.14,4.71,3.71,0.07395993836671803,0.03934426229508197,0.2727272727272727,418,354,,,0.0,0,1,1,5063,223,74,166,9,30,7,13.483870967741936,1220.0,1220.0,1.0
289296,1338052,25.04287,121.55112,大安區,Entire home/apt,0.4986301369863014,0,4,2.0,2.0,1.0,False,2622.0,30,1125,30.0,0,0,0,8,4.59,4.69,4.83,4.79,4.86,4.9,4.55,0.4268104776579353,0.13114754098360656,0.5151515151515151,470,396,1.0,1.0,4.0,1,2,2,5088,34,165,0,17,23,9,19.583333333333332,655.5,1311.0,0.5
289298,1338052,25.08091,121.55902,中山區,Entire home/apt,0.873972602739726,1,2,1.0,1.0,1.0,False,2195.0,30,1125,30.0,0,0,0,0,4.84,4.87,4.94,4.91,4.96,4.61,4.72,0.4339250493096647,0.5079155672823219,0.8979591836734694,22,13,1.0,1.0,4.0,1,2,2,5088,40,165,0,22,10,9,2.0,1097.5,2195.0,0.5
333362,6542367,25.07893,121.55061,中山區,Entire home/apt,0.8931506849315068,1,2,1.0,1.0,1.0,False,1719.0,3,30,3.0,0,1,0,0,4.75,4.71,4.56,4.72,4.89,4.7,4.73,0.2504930966469428,0.37730870712401055,1.469387755102041,16,11,,,0.0,0,1,1,4513,118,50,124,36,3,1,4.0,859.5,1719.0,0.5
646629,3204303,25.01708136358273,121.53232686857233,大安區,Entire home/apt,0.27123287671232876,0,3,1.0,1.0,1.0,False,2220.0,2,60,2.0,0,0,0,8,4.65,4.7,4.47,4.79,4.9,4.88,4.61,0.33281972265023113,0.17704918032786884,1.4848484848484849,279,125,0.97,1.0,4.0,1,1,1,4800,249,351,576,49,11,4,23.25,740.0,2220.0,0.3333333333333333
718493,3705836,25.0692,121.58582,內湖區,Entire home/apt,0.6246575342465753,0,4,2.0,2.0,1.0,False,1509.0,35,730,35.0,0,0,0,3,4.59,4.57,4.46,4.77,4.82,4.43,4.52,0.1111111111111111,0.21739130434782608,1.3333333333333333,6,6,0.82,0.98,4.0,1,26,26,4749,315,343,0,46,2,0,2.0,377.25,754.5,0.5
761561,4014285,25.02463,121.52318,中正區,Entire home/apt,0.36164383561643837,0,2,0.0,1.0,1.0,False,1537.0,5,150,5.0,0,0,0,1,4.77,4.84,4.7,4.88,4.95,4.91,4.77,0.18722466960352424,0.33371824480369516,1.3571428571428572,435,193,1.0,1.0,4.0,1,1,1,4718,297,117,116,38,10,3,39.54545454545455,768.5,,0.5
869581,4581891,25.12665,121.53418,士林區,Entire home/apt,0.9972602739726028,1,3,1.0,2.0,1.5,False,3061.0,364,1125,364.0,0,0,0,6,4.91,4.85,4.94,4.91,4.94,4.79,4.68,0.6228070175438597,0.7135922330097088,1.6206896551724137,6,4,,,0.0,0,3,2,4653,312,119,366,47,0,0,6.0,1020.3333333333334,3061.0,0.6666666666666666
