id,host_id,latitude,longitude,neighbourhood_cleansed,room_type,Y_vacancy,Y_high_risk,accommodates,bedrooms,beds,bathrooms_count,is_shared_bath,price,minimum_nights,maximum_nights,min_nights_avg_ntm,instant_bookable,self_checkin,room_type_code,neighbourhood_code,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price_pctl_nbhd,score_pctl_nbhd,amenities_vs_median,nbr_density_1km,nbr_density_same_type_1km,host_acceptance_rate,host_response_rate,response_speed,host_is_superhost,host_listings_count,calculated_host_listings_count,host_tenure_days,desc_len,host_about_len,neighborhood_overview_len,amenities_count,hotel_count_1km,hotel_count_500m,airbnb_hotel_supply_ratio,price_per_person,price_per_bedroom,beds_per_person,dist_to_nearest_mrt_m,mrt_count_500m,bus_stops_count_300m,bus_stops_count_500m,conv_stores_count_200m,conv_stores_count_500m,restaurants_count_500m,dist_to_nearest_park_m,park_count_500m,dist_to_nearest_clinic_m,dist_to_nearest_school_m,avg_review_sentiment,avg_review_length,has_no_reviews
68398,339014,25.0287746,121.55468591047,大安區,Entire home/apt,0.7095890410958904,1,1,1.0,1.0,1.0,False,1098.0,30,365,30.0,0,0,0,8,4.71,4.86,4.57,4.93,4.93,5.0,4.86,0.0454545454545454,0.2532786885245902,0.7878787878787878,452,301,0.82,1.0,3.0,1,3,3,5380,68,150,683,26,16,5,26.58823529411765,1098.0,1098.0,1.0,489.7369958036221,2,8,21,4,26,515,126.3162170622571,5,213.4138211884696,303.7803281948161,0.7898857142857143,343.14285714285717,0
271733,242033,25.00581,121.55518,文山區,Entire home/apt,0.1342465753424657,0,2,2.0,2.0,1.0,False,1200.0,14,182,14.0,0,0,0,9,4.97,4.96,4.93,4.97,4.99,4.8,4.91,0.1794871794871795,0.6875,1.3703703703703705,23,18,0.67,1.0,2.0,1,1,1,5487,526,279,177,37,0,0,23.0,600.0,600.0,1.0,200.80362273853063,1,2,8,0,3,11,115.22107162052492,4,543.5358610560921,268.6965200798307,0.8380866666666668,540.6,0
272314,1425203,25.04224,121.54265,大安區,Entire home/apt,0.9808219178082191,1,1,1.0,1.0,1.0,False,1220.0,90,1125,90.0,0,0,0,8,4.2,4.14,4.29,3.86,4.14,4.71,3.71,0.073959938366718,0.0393442622950819,0.2727272727272727,418,354,,,0.0,0,1,1,5063,223,74,166,9,30,7,13.483870967741936,1220.0,1220.0,1.0,69.95135913340036,5,8,22,6,29,485,60.07742252543076,6,175.6721879464523,254.06035781418663,0.6898,271.22222222222223,0
289296,1338052,25.04287,121.55112,大安區,Entire home/apt,0.4986301369863014,0,4,2.0,2.0,1.0,False,2622.0,30,1125,30.0,0,0,0,8,4.59,4.69,4.83,4.79,4.86,4.9,4.55,0.4268104776579353,0.1311475409836065,0.5151515151515151,470,396,1.0,1.0,4.0,1,2,2,5088,34,165,0,17,23,9,19.58333333333333,655.5,1311.0,0.5,147.0598143636186,8,7,17,8,38,941,398.7720441017096,2,100.36586648142308,477.4870484631117,0.5846379310344827,281.13793103448273,0
289298,1338052,25.08091,121.55902,中山區,Entire home/apt,0.873972602739726,1,2,1.0,1.0,1.0,False,2195.0,30,1125,30.0,0,0,0,0,4.84,4.87,4.94,4.91,4.96,4.61,4.72,0.4339250493096647,0.5079155672823219,0.8979591836734694,22,13,1.0,1.0,4.0,1,2,2,5088,40,165,0,22,10,9,2.0,1097.5,2195.0,0.5,482.2324319004442,1,11,20,8,14,100,102.0143690835146,18,511.72613711355785,224.68351207866084,0.8198533333333333,479.53333333333336,0
333362,6542367,25.07893,121.55061,中山區,Entire home/apt,0.8931506849315068,1,2,1.0,1.0,1.0,False,1719.0,3,30,3.0,0,1,0,0,4.75,4.71,4.56,4.72,4.89,4.7,4.73,0.2504930966469428,0.3773087071240105,1.469387755102041,16,11,,,0.0,0,1,1,4513,118,50,124,36,3,1,4.0,859.5,1719.0,0.5,366.6832930855449,3,4,11,3,13,108,211.07932358384045,12,299.60164591312883,124.59409032963394,0.9669399999999999,673.7666666666667,0
646629,3204303,25.01708136358273,121.53232686857233,大安區,Entire home/apt,0.2712328767123287,0,3,1.0,1.0,1.0,False,2220.0,2,60,2.0,0,0,0,8,4.65,4.7,4.47,4.79,4.9,4.88,4.61,0.3328197226502311,0.1770491803278688,1.4848484848484849,279,125,0.97,1.0,4.0,1,1,1,4800,249,351,576,49,11,4,23.25,740.0,2220.0,0.3333333333333333,251.54245647552327,6,9,17,5,15,265,103.41101400494318,3,121.07925567016144,204.94787914462796,0.9509166666666666,433.4,0
718493,3705836,25.0692,121.58582,內湖區,Entire home/apt,0.6246575342465753,0,4,2.0,2.0,1.0,False,1509.0,35,730,35.0,0,0,0,3,4.59,4.57,4.46,4.77,4.82,4.43,4.52,0.1111111111111111,0.217391304347826,1.3333333333333333,6,6,0.82,0.98,4.0,1,26,26,4749,315,343,0,46,2,0,2.0,377.25,754.5,0.5,1025.2268528481543,0,4,12,5,10,56,162.08266121332284,3,198.32022567207568,45.24438198932368,0.47890333333333335,377.4,0
761561,4014285,25.02463,121.52318,中正區,Entire home/apt,0.3616438356164383,0,2,0.0,1.0,1.0,False,1537.0,5,150,5.0,0,0,0,1,4.77,4.84,4.7,4.88,4.95,4.91,4.77,0.1872246696035242,0.3337182448036951,1.3571428571428572,435,193,1.0,1.0,4.0,1,1,1,4718,297,117,116,38,10,3,39.54545454545455,768.5,,0.5,98.51628663373803,9,11,22,5,23,213,291.2979736978916,3,258.0800916363472,161.33547412653354,0.6745300000000001,246.9,0
869581,4581891,25.12665,121.53418,士林區,Entire home/apt,0.9972602739726028,1,3,1.0,2.0,1.5,False,3061.0,364,1125,364.0,0,0,0,6,4.91,4.85,4.94,4.91,4.94,4.79,4.68,0.6228070175438597,0.7135922330097088,1.6206896551724137,6,4,,,0.0,0,3,2,4653,312,119,366,47,0,0,6.0,1020.3333333333334,3061.0,0.6666666666666666,2306.327990929932,0,7,12,0,7,9,256.50746391910417,4,879.3440453992752,1013.0390706007367,0.8342966666666667,423.3333333333333,0
