object_id,url,標題,價格(元/月),押金(元),管理費(元),地址,行政區,路段,緯度,經度,格局,房,廳,衛,廚,陽台,可住人數,房型,建物型態,坪數,樓層,總樓層,最短租期(月),刊登日,出租方類型,特色標籤
x6usjoezxmzqg4xv,https://www.dd-room.com/object/x6usjoezxmzqg4xv,(屋齡0年)西門站捷運|西門町|電梯大樓|共生宅|北門站,16000,32000,0,臺北市萬華區開封街二段,萬華區,開封街二段,25.0465997,121.5068178,4房1廳2衛1廚2陽台,4,1,2,1,2,1~2,雅房,elevator,49,7,15,12,2026-07-16,individual,可開伙、對外窗、氣密窗、有飲水機、有電梯、垃圾代收、包裹代收、定期清潔、免仲介費、共生公寓、電費照台電、水費照台水、智慧宅、保全設施、可無火煮食
7ewpqt1pdr888mpi,https://www.dd-room.com/object/7ewpqt1pdr888mpi,(屋齡0年)西門站捷運|西門町|電梯大樓|共生宅|北門站,18000,36000,0,臺北市萬華區開封街二段,萬華區,開封街二段,25.0465997,121.5068178,4房1廳2衛1廚2陽台,4,1,2,1,2,1~2,雅房,elevator,49,7,15,12,2026-07-16,individual,可開伙、有飲水機、對外窗、氣密窗、有電梯、垃圾代收、包裹代收、定期清潔、免仲介費、電費照台電、水費照台水、共生公寓、智慧宅
pehsslpeuxchaoyj,https://www.dd-room.com/object/pehsslpeuxchaoyj,(屋齡0年)西門站捷運|西門町|電梯大樓|共生宅|北門站,22000,44000,0,臺北市萬華區開封街二段,萬華區,開封街二段,25.0465997,121.5068178,4房1廳2衛1廚2陽台,4,1,2,1,2,1~2,雅房,elevator,49,7,15,12,2026-07-16,individual,可開伙、可無火煮食、氣密窗、對外窗、有電梯、垃圾代收、包裹代收、定期清潔、免仲介費、電費照台電、水費照台水、有陽台、智慧宅、保全設施
wf2a72zrdk4hpcf1,https://www.dd-room.com/object/wf2a72zrdk4hpcf1,中山捷運站1分鐘，全新裝潢，精品雅房，生活機能完善,23000,0,0,臺北市大同區赤峰街,大同區,赤峰街,25.0552168,121.5196301,1房,1,0,0,0,0,1,雅房,apt,6.5,4,4,12,2026-07-16,individual,
9uboc8yptboe2scu,https://www.dd-room.com/object/9uboc8yptboe2scu,近捷運松江南京站【超值電梯】可補助★大空間★光華商場,15999,31998,0,臺北市中山區松江路,中山區,松江路,25.0720372,121.5314822,1房1衛,1,0,1,0,0,2,獨立套房,elevator,10,6,6,12,2026-07-16,broker,有電梯、租金補貼
h6r66lscczwwuvlw,https://www.dd-room.com/object/h6r66lscczwwuvlw,捷運圓山2分【優質電梯】可報稅★大空間★警衛管理,22999,45998,0,臺北市大同區承德路三段,大同區,承德路三段,25.0671933,121.5184595,1房1衛,1,0,1,0,0,2,獨立套房,elevator,10,7,7,12,2026-07-16,broker,
o53qckeafn55jyck,https://www.dd-room.com/object/o53qckeafn55jyck,捷運內湖站【超值租案】新裝潢★垃圾代收★小資首選,8499,16998,0,臺北市內湖區內湖路三段,內湖區,內湖路三段,25.1015132,121.570029,1房1衛,1,0,1,0,0,2,獨立套房,apt,3,5,6,12,2026-07-16,broker,可開伙、垃圾代收
ivwc0f7xxyoxvymi,https://www.dd-room.com/object/ivwc0f7xxyoxvymi,捷運台電大樓1分【優質1＋１房】開伙電★垃圾代收★警衛管理,38499,76998,2851,臺北市大安區羅斯福路三段,大安區,羅斯福路三段,25.0210343,121.5293258,1房1廳1衛,1,1,1,0,0,1,整層,elevator,9,14,16,12,2026-07-16,broker,可開伙、有電梯、垃圾代收
gn1oqvzfmtvi6xwf,https://www.dd-room.com/object/gn1oqvzfmtvi6xwf,忠孝敦化1分【優質電梯】警衛管理★垃圾代收★獨洗衣機,37999,75998,4023,臺北市大安區敦化南路一段,大安區,敦化南路一段,25.0420962,121.5491292,1房1衛,1,0,1,0,0,2,獨立套房,elevator,7,7,9,12,2026-07-16,broker,有電梯、垃圾代收
dikopoacdc21z9vo,https://www.dd-room.com/object/dikopoacdc21z9vo,近捷運象山【優質租案】免爬梯★大空間★獨立衛浴,16999,33998,0,臺北市信義區信義路六段,信義區,信義路六段,25.0349379,121.5765026,1房1衛,1,0,1,0,0,2,獨立套房,apt,10,1,5,12,2026-07-16,broker,
pwz0wyoq89n7ewmg,https://www.dd-room.com/object/pwz0wyoq89n7ewmg,近捷運公館【優質電梯】獨洗陽台★警衛管理★垃圾代收,29999,59998,690,臺北市文山區羅斯福路四段,文山區,羅斯福路四段,25.0103997,121.5371773,1房1衛1陽台,1,0,1,0,1,2,獨立套房,elevator,15,6,10,12,2026-07-16,broker,可開伙、有電梯、垃圾代收、有陽台
y4edvbdkhezvigmz,https://www.dd-room.com/object/y4edvbdkhezvigmz,忠孝敦化站&國父紀念館站5分鐘/可租補/可開伙/文青套房,18500,37000,650,臺北市大安區忠孝東路四段,大安區,忠孝東路四段,25.0415416,121.5510456,5房1廳3衛1廚1陽台,5,1,3,1,1,2,分租套房,apt,5,4,5,12,2026-07-16,individual,可開伙、有飲水機、對外窗、水泥隔間、垃圾代收、定期清潔、免仲介費、電費照台電、水費照台水、可報稅、共生公寓、有陽台、租金補貼
ctvlizpmhygzj45s,https://www.dd-room.com/object/ctvlizpmhygzj45s,兆基社會住宅🏡友善屋源🧡近社子市場/可租補入籍/免仲,26000,52000,0,臺北市士林區環河北路三段,士林區,環河北路三段,25.0836784,121.5068808,3房2廳2衛1陽台,3,2,2,0,1,3,整層,apt,36.3,4,5,12,2026-07-16,broker,可無火煮食、可養貓、租金補貼、可報稅、可入籍、社會住宅、免仲介費、有陽台、可開伙
eevwljmvad6kbxra,https://www.dd-room.com/object/eevwljmvad6kbxra,兆基社會住宅🏠友善屋源🧡近南軟/4房使用空間大/可入籍補,30000,60000,0,臺北市南港區研究院路二段,南港區,研究院路二段,25.0393798,121.6174071,4房2廳2衛2陽台,4,2,2,0,2,4,整層,apt,38.1,3,4,12,2026-07-16,broker,可無火煮食、租金補貼、可報稅、可入籍、社會住宅、免仲介費、有陽台、可開伙
k6y5ykshc5g1qb79,https://www.dd-room.com/object/k6y5ykshc5g1qb79,兆基社會住宅🏠友善屋源🧡西門商圈🧡免爬高🧡可申請租補,22000,44000,50,臺北市萬華區西昌街,萬華區,西昌街,25.0422342,121.5006996,1房1廳1衛1陽台,1,1,1,0,1,1,整層,elevator,10.8,1,7,12,2026-07-16,broker,可無火煮食、租金補貼、可報稅、可入籍、社會住宅、免仲介費、有陽台、可開伙
00xmb3jxll98gejr,https://www.dd-room.com/object/00xmb3jxll98gejr,兆基社會住宅🏠1.整理中.可租補,30000,60000,0,臺北市北投區中和街,北投區,中和街,25.1405111,121.5002439,3房2廳1衛,3,2,1,0,0,3,整層,apt,26.9,4,4,12,2026-07-16,broker,可無火煮食、免仲介費、社會住宅、租金補貼、可報稅、可入籍
258nny8j5dxlg8hr,https://www.dd-room.com/object/258nny8j5dxlg8hr,兆基社會住宅🏠友善屋源🧡捷運永春站、可租補入籍免仲介費,21500,43000,600,臺北市信義區松山路,信義區,松山路,25.0349996,121.5797394,1房1廳1衛1陽台,1,1,1,0,1,2,獨立套房,elevator,15.1,11,15,12,2026-07-16,broker,可無火煮食、可報稅、有電梯、有陽台、可入籍、社會住宅、免仲介費、可開伙、租金補貼
utn6gyuubcsuytlp,https://www.dd-room.com/object/utn6gyuubcsuytlp,2.兆基社會住宅🏠友善屋源🧡文化大學凱旋苑獨立套房雙床房,8000,0,800,臺北市士林區凱旋路,士林區,凱旋路,25.1362122,121.5444527,1房1衛1陽台,1,0,1,0,1,2,獨立套房,apt,5.2,3,5,12,2026-07-16,broker,可報稅、有陽台、可入籍、社會住宅、免仲介費、租金補貼
gyq7sumtrugejxqo,https://www.dd-room.com/object/gyq7sumtrugejxqo,兆基社會住宅🏠友善屋源🧡貴陽街市場內可租補/陽台大1房,20000,40000,0,臺北市萬華區貴陽街二段,萬華區,貴陽街二段,25.0393921,121.5063921,1房1廳1衛1陽台,1,1,1,0,1,1,整層,apt,24.8,3,5,12,2026-07-16,broker,可無火煮食、可報稅、可入籍、社會住宅、免仲介費、有陽台、可開伙、租金補貼
