飯店名稱,住宿評等,評論分數,館內熱門設施,住客評論(前3則),行政區,地址,緯度,經度,房型名稱,房間設施,價格,可住宿人數,房型圖片網址,飯店連結
華中露營場,N/A,6.8,客房服務、免費停車、行李寄存、暖氣、花園,N/A,萬華區,台北萬華區萬華區萬大路底華中河濱公園左區,25.014623832522716,121.49634093046188,標準房,N/A,"3,150",4,#RD169251301,https://www.booking.com/hotel/tw/hua-zhong-lu-ying-chang.zh-tw.html
華中露營場,N/A,6.8,客房服務、免費停車、行李寄存、暖氣、花園,N/A,萬華區,台北萬華區萬華區萬大路底華中河濱公園左區,25.014623832522716,121.49634093046188,標準房,N/A,"2,850",2,#RD169251302,https://www.booking.com/hotel/tw/hua-zhong-lu-ying-chang.zh-tw.html
藝築文旅 - 開封舘,N/A,6.8,禁菸客房、免費無線網路、家庭房、電梯、行李寄存,N/A,萬華區,台北萬華區開封街二段63號2-4樓,25.047079,121.505302,標準房,N/A,"3,600",4,#RD355490004,https://www.booking.com/hotel/tw/yi-su-wen-lu-kai-feng-guan.zh-tw.html
趣旅館．林森館,評分為 3 顆星，滿分為 5,8.1,禁菸客房、免費無線網路、機場接駁車、餐廳、24 小時接待櫃檯、洗衣、電梯、行李寄存、早餐評價還不錯,「離捷運站近」 | 「非常喜歡。早餐好吃。住第二次了」 | 「位置好，還有含早餐，房間乾淨，公共設施也很完善。每次來台北研習上課都會來住，真心推！」,中山區,台北中山區林森北路487號,25.0613745,121.52572729999997,標準房,N/A,"3,765",4,#RD170592509,https://www.booking.com/hotel/tw/qu-lu-guan-lin-sen-guan.zh-tw.html
趣旅館．林森館,評分為 3 顆星，滿分為 5,8.1,禁菸客房、免費無線網路、機場接駁車、餐廳、24 小時接待櫃檯、洗衣、電梯、行李寄存、早餐評價還不錯,「離捷運站近」 | 「非常喜歡。早餐好吃。住第二次了」 | 「位置好，還有含早餐，房間乾淨，公共設施也很完善。每次來台北研習上課都會來住，真心推！」,中山區,台北中山區林森北路487號,25.0613745,121.52572729999997,標準房,N/A,"5,530",4,#RD170592522,https://www.booking.com/hotel/tw/qu-lu-guan-lin-sen-guan.zh-tw.html
趣旅館．林森館,評分為 3 顆星，滿分為 5,8.1,禁菸客房、免費無線網路、機場接駁車、餐廳、24 小時接待櫃檯、洗衣、電梯、行李寄存、早餐評價還不錯,「離捷運站近」 | 「非常喜歡。早餐好吃。住第二次了」 | 「位置好，還有含早餐，房間乾淨，公共設施也很完善。每次來台北研習上課都會來住，真心推！」,中山區,台北中山區林森北路487號,25.0613745,121.52572729999997,標準房,N/A,"5,506",4,#RD170592510,https://www.booking.com/hotel/tw/qu-lu-guan-lin-sen-guan.zh-tw.html
趣旅館．林森館,評分為 3 顆星，滿分為 5,8.1,禁菸客房、免費無線網路、機場接駁車、餐廳、24 小時接待櫃檯、洗衣、電梯、行李寄存、早餐評價還不錯,「離捷運站近」 | 「非常喜歡。早餐好吃。住第二次了」 | 「位置好，還有含早餐，房間乾淨，公共設施也很完善。每次來台北研習上課都會來住，真心推！」,中山區,台北中山區林森北路487號,25.0613745,121.52572729999997,標準房,N/A,"3,741",2,#RD170592505,https://www.booking.com/hotel/tw/qu-lu-guan-lin-sen-guan.zh-tw.html
昇美精品旅店,評分為 3 顆星，滿分為 5,8.0,禁菸客房、免費無線網路、機場接駁車、家庭房、24 小時接待櫃檯、電梯、行李寄存、每日清潔服務,"「態度親切！」 | 「前台服務人員熱誠細心. 旅店位置適中, 交通方便.」 | 「水夠大，加熱速度也很快」",中山區,台北中山區新生北路2段25號,25.0536585,121.52783840000006,標準房,N/A,"5,125",4,#RD114215604,https://www.booking.com/hotel/tw/hotel-bchic.zh-tw.html
昇美精品旅店,評分為 3 顆星，滿分為 5,8.0,禁菸客房、免費無線網路、機場接駁車、家庭房、24 小時接待櫃檯、電梯、行李寄存、每日清潔服務,"「態度親切！」 | 「前台服務人員熱誠細心. 旅店位置適中, 交通方便.」 | 「水夠大，加熱速度也很快」",中山區,台北中山區新生北路2段25號,25.0536585,121.52783840000006,標準房,N/A,"3,986",2,#RD114215605,https://www.booking.com/hotel/tw/hotel-bchic.zh-tw.html
昇美精品旅店,評分為 3 顆星，滿分為 5,8.0,禁菸客房、免費無線網路、機場接駁車、家庭房、24 小時接待櫃檯、電梯、行李寄存、每日清潔服務,"「態度親切！」 | 「前台服務人員熱誠細心. 旅店位置適中, 交通方便.」 | 「水夠大，加熱速度也很快」",中山區,台北中山區新生北路2段25號,25.0536585,121.52783840000006,標準房,N/A,"4,081",2,#RD114215606,https://www.booking.com/hotel/tw/hotel-bchic.zh-tw.html
