項次,school,schoolname,postalcode,address,telephone,經度,緯度
1,國小,國立北教大實小,106316,臺北市大安區龍淵里和平東路2段94號,(02)27356186,121.540820404097,25.025108386382
2,國小,國立政大實小,116011,臺北市文山區指南路三段12號,(02)29393610,121.579918619981,24.984666260418
3,國小,松山國小,105057,臺北市松山區八德路四段746號,(02)27672907,121.579268687209,25.051205202495
4,國小,西松國小,105032,臺北市松山區東光里三民路5號,(02)27609221,121.56370690592,25.052245818418
5,國小,敦化國小,105039,臺北市松山區中正里敦化北路2號,(02)27414065,121.548615771331,25.049296304466
6,國小,民生國小,105017,臺北市松山區敦化北路199巷18號,(02)27122452,121.549289176587,25.055597449504
7,國小,民權國小,105008,臺北市松山區民權東路四段200號,(02)27652327,121.562297512573,25.062508115108
8,國小,民族國小,105012,臺北市松山區民生東路4段97巷7號,(02)27124872,121.552136272494,25.058095951638
9,國小,三民國小,105072,臺北市松山區莊敬里民權東路五段1號,(02)27646080,121.564636931141,25.063190162155
10,國小,健康國小,105028,臺北市松山區延壽街168號,(02)25282814,121.562923054007,25.05662217506
11,國小,興雅國小,110056,臺北市信義區雅祥里基隆路1段83巷9號,(02)27618156,121.569321631253,25.048889156919
12,國小,光復國小,110055,臺北市信義區光復南路271號,(02)27585076,121.557757627477,25.039761332844
13,國小,三興國小,110008,臺北市信義區景聯里基隆路2段99號,(02)27364687,121.557695242346,25.029722787435
14,國小,信義國小,110018,臺北市信義區松勤街60號,(02)27204005,121.563143934737,25.031971286078
15,國小,吳興國小,110021,臺北市信義區松仁路226號,(02)27200226,121.568677312481,25.02600798931
16,國小,福德國小,110036,臺北市信義區中行里褔德街253號,(02)27277992,121.583592,25.038473
17,國小,雙永國小,110044,臺北市信義區松山路287巷5號,(02)87858111,121.579753245031,25.043346539626
18,國小,博愛國小,110050,臺北市信義區松仁路22鄰95巷20號,(02)23450616,121.568423425097,25.031772435178
19,國小,龍安國小,106314,臺北市大安區龍門里新生南路3段33號,(02)23632077,121.53477295422,25.024218849426
20,國小,大安國小,106325,臺北市大安區芳和里臥龍街129號,(02)27322332,121.549829429722,25.019314567599
21,國小,幸安國小,106346,臺北市大安區民炤里仁愛路3段22號,(02)27074191,121.53486550601,25.037753021126
22,國小,建安國小,106349,臺北市大安區龍雲里大安路2段99號,(02)27077119,121.546104284133,25.029629701354
23,國小,仁愛國小,106342,臺北市大安區敦安里安和路1段60號,(02)27095010,121.552425349662,25.035807455846
24,國小,金華國小,106303,臺北市大安區永康里愛國東路79巷11號,(02)23917402,121.523536571684,25.032305979814
25,國小,古亭國小,106309,臺北市大安區古風里羅斯福路3段201號,(02)23639795,121.528295539743,25.020788085982
26,國小,銘傳國小,106032,臺北市大安區農場里羅斯褔路四段21號,(02)23639815,121.535805,25.014138
27,國小,公館國小,106334,臺北市大安區基隆路4段41巷68弄2號,(02)27351734,121.542865327347,25.012417526456
28,國小,新生國小,106307,臺北市大安區新生南路二段36號,(02)23913122,121.53361179006,25.029759097393
29,國小,和平實小,106321,臺北市大安區敦南街76巷28號,(02)27335900,121.546668448274,25.020725165969
30,國小,中山國小,104328,臺北市中山區恆安里民權東路1段69號,(02)25914085,121.526025367117,25.06284084043
31,國小,中正國小,104103,臺北市中山區力行里龍江路62號,(02)25070932,121.540364645876,25.050670760132
32,國小,長安國小,104391,臺北市中山區興亞里吉林路15號,(02)25617600,121.530121818294,25.049905985882
33,國小,長春國小,104372,臺北市中山區中央里長春路165號,(02)25024366,121.534237671487,25.054831367585
34,國小,大直國小,104337,臺北市中山區大直里大直街2號,(02)25333953,121.546572735435,25.080476238192
35,國小,大佳國小,104358,臺北市中山區大佳里6鄰濱江街107號,(02)25035816,121.535953945264,25.073303461575
36,國小,五常國小,104362,臺北市中山區下埤里五常街16號,(02)25023416,121.542056745334,25.064232059626
37,國小,吉林國小,104089,臺北市中山區中原里長春路116號,(02)25219196,121.529640255136,25.054805956222
38,國小,懷生國小,104322,臺北市中山區埤頭里安東街16巷2號,(02)27710846,121.542071393478,25.045564181658
39,國小,永安國小,104346,臺北市中山區明水路397巷19弄1號,(02)25335672,121.549391644797,25.078735521566
