id,host_id,name,neighbourhood_cleansed,room_type,price,availability_90,unmatched_reason
2100055,512958,2 BR Taipei Home /FREE ＷiFi/With Elevator,文山區,Entire home/apt,"$11,031.67",82,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
4484717,7121137,"MRT 6 min,Balcony,Studio,新北投捷運陽台，整層",北投區,Entire home/apt,"$1,468.43",59,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
4729602,24423404,2BR Stylish Service Apt near DaAn Park/DongmenMRT,大安區,Entire home/apt,"$3,514.17",28,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
5117935,26449355,Cozy King Bed En-Suite in Daan (3-Min Walk to MRT),大安區,Private room,$872.10,40,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
5118544,26449355,Twin Private Room,大安區,Private room,$874.59,28,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
9688111,50036805,西門町捷運旁3分鐘可到.4人房.2大床.窗,萬華區,Entire home/apt,"$3,650.50",82,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
9691498,50036805,西門捷運站旁3分鐘可到.2人房 .1雙人床。窗,萬華區,Entire home/apt,"$2,455.00",82,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
9691862,50036805,西門捷運站旁3分鐘可到。2人房1雙人床。窗,萬華區,Entire home/apt,"$2,458.00",87,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
13753608,28039537,Ximen MRT3min★Hello Kitty ONE DAY III,萬華區,Entire home/apt,,0,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
15181629,9614081,Quiet Spacious Studio for Monthly Living in Taipei,信義區,Entire home/apt,"$3,539.77",83,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
16057271,54549945,內湖挑高景觀套房(月租有優惠，歡迎參觀）,內湖區,Entire home/apt,"$1,320.32",89,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
16503407,23121443,Private room/ Songshan Apt /Homestay/Taipei Arena,松山區,Shared room,"$1,226.50",58,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
16815692,26449355,大安區舒適雅房（近師大/台大）捷運台電大樓站旁,大安區,Private room,$610.47,12,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
17321716,44139449,台北医学大学/微风南山/101地铁站,信義區,Entire home/apt,"$1,046.82",72,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
18943399,50036805,西門捷運站旁3分鐘可到。5人房.2雙人床.1單人床.窗,萬華區,Entire home/apt,"$5,192.50",85,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
20550197,17231776,旅行者-床位（only for women)-3床,大安區,Shared room,$526.00,88,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
20550411,17231776,旅行者之家,大安區,Private room,"$1,141.18",83,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
21952826,95136275,光腳ㄚの民宿(三房兩廳),南港區,Entire home/apt,"$5,157.00",12,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
24142988,55261610,MoonHouse | Ximen 7 min | 3BR for 8 | Quiet Stay,萬華區,Entire home/apt,"$3,971.20",48,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
