name,address,latitude,longitude
捷運西湖站,站牌代碼 252,25.08235,121.566541
福美站,站牌代碼 126,25.100447,121.504489
法藏寺,站牌代碼 245,25.138993,121.512427
行義路一,站牌代碼 178,25.133144,121.52864
建民里,站牌代碼 280,25.102541,121.512544
國泰新村,站牌代碼 343,25.143538,121.498005
桃源國中,站牌代碼 319,25.135242,121.478415
捷運奇岩站,站牌代碼 366,25.126004,121.499599
捷運石牌站(東�,站牌代碼 364,25.114918,121.515722
士林區行政中�,站牌代碼 574,25.092578,121.520387
東吳大學(錢穆�,站牌代碼 729,25.09702,121.541893
故宮博物院,站牌代碼 764,25.100204,121.550516
乾坑子,站牌代碼 786,25.14201,121.558338
溪山派出所,站牌代碼 880,25.119814,121.584732
紗帽橋,站牌代碼 782,25.148165,121.533402
富洲里九段,站牌代碼 827,25.106066,121.474288
內湖國中,站牌代碼 1000,25.076894,121.587864
賴厝,站牌代碼 934,25.113661,121.52719
職能發展學院,站牌代碼 947,25.11433,121.53922
五常街口,站牌代碼 1198,25.064038,121.544505
華山公園(市民),站牌代碼 1352,25.047122,121.526495
懷生國宅,站牌代碼 1399,25.044581,121.535592
防癆協會,站牌代碼 1435,25.06395,121.518461
基隆路口,站牌代碼 1565,25.048356,121.568963
復盛京華(往西),站牌代碼 1581,25.04688,121.56152
基隆路口一,站牌代碼 1568,25.050154,121.569621
捷運南港站,站牌代碼 1699,25.052367,121.608352
成功中學(林森),站牌代碼 1940,25.042925,121.522689
延平中學,站牌代碼 2258,25.035923,121.538301
吳興街站,站牌代碼 2084,25.02324,121.56976
復興南路（中�,站牌代碼 2200,25.0465,121.54377
貓空纜車站,站牌代碼 2363,24.968307,121.588052
頂好市場,站牌代碼 2325,25.041471,121.54638
捷運國父紀念�,站牌代碼 2321,25.041997,121.557774
捷運萬芳社區�,站牌代碼 2446,24.998586,121.569556
台電大樓,站牌代碼 2742,25.018124,121.531243
政大三街,站牌代碼 2417,24.985813,121.582578
憲光公寓,站牌代碼 2533,24.999761,121.54401
捷運龍山寺站,站牌代碼 3911,25.035369,121.500584
市民東寧路口,站牌代碼 4041,25.04731,121.56246
新北投,站牌代碼 4113,25.137788,121.503117
捷運大橋頭站,站牌代碼 4184,25.062346,121.513712
豐台煤礦,站牌代碼 4722,25.024973,121.62448
福聖宮(山水綠�,站牌代碼 4724,25.029832,121.621328
指南宮(後山站),站牌代碼 4680,24.978508,121.591917
護國九天宮,站牌代碼 4720,25.018152,121.623444
富安國小,站牌代碼 5974,25.106041,121.483315
華山公園(市民�,站牌代碼 6694,25.04682,121.52862
師大分部,站牌代碼 6735,25.008326,121.537889
興安華城,站牌代碼 6991,25.055328,121.544288
南昌家具街,站牌代碼 6933,25.027195,121.520872
強恕中學,站牌代碼 6946,25.02486,121.520519
惇敘工商(行義),站牌代碼 7208,25.143501,121.527252
捷運芝山站(福�,站牌代碼 7262,25.101917,121.524191
大埔(明玄宮),站牌代碼 14606,25.143107,121.535602
頂坪,站牌代碼 20371,25.152768,121.53926
臥龍富陽街口,站牌代碼 20298,25.018574,121.557095
頂湖山,站牌代碼 50080,25.173295,121.540701
世界山莊,站牌代碼 50050,25.005231,121.563715
華山公園(市民�,站牌代碼 50046,25.046487,121.528667
菁山一,站牌代碼 50518,25.145048,121.557714
新湖行忠路口,站牌代碼 50426,25.0642,121.57789
台北美國 / 日�,站牌代碼 50637,25.11569,121.52816
行政院,站牌代碼 50688,25.046484,121.51976
陽明書屋(正門),站牌代碼 60111,25.162613,121.540722
臺視,站牌代碼 1000022,25.048248,121.551437
居安新村,站牌代碼 60151,25.121192,121.555313
萬美社區,站牌代碼 1000093,25.003568,121.562559
憲光公寓,站牌代碼 1000232,24.99949,121.543826
竹子湖路4-1號,站牌代碼 1001091,25.164316,121.544286
民生東路口,站牌代碼 1001089,25.058796,121.530146
陽明教養院,站牌代碼 1000620,25.110508,121.548654
捷運萬芳醫院�,站牌代碼 1000769,24.999051,121.557681
建民里一,站牌代碼 1000867,25.105521,121.512176
臺灣警察專科�,站牌代碼 1000770,24.998268,121.558495
菁山二,站牌代碼 1001269,25.146567,121.558714
幽雅路35號,站牌代碼 1001348,25.137444,121.515467
懷生國小,站牌代碼 1001121,25.044769,121.541799
港墘,站牌代碼 424,25.080685,121.577825
湖興,站牌代碼 1107,25.068031,121.590661
幼華高中(大業),站牌代碼 4,25.135718,121.496807
上北投,站牌代碼 18,25.141871,121.513866
中國電視公司,站牌代碼 0,25.056779,121.599311
幼華高中(大業),站牌代碼 6,25.133805,121.496138
大崙尾山,站牌代碼 598,25.106839,121.569896
大埔一,站牌代碼 50060,25.14269,121.533125
內寮,站牌代碼 623,25.142288,121.577976
石崁,站牌代碼 152,25.103707,121.594901
北投分局,站牌代碼 1001332,25.1331,121.500577
捷運台北101/世�,站牌代碼 200005008,25.032733,121.561564
捷運台北101/世�,站牌代碼 200005010,25.032742,121.563646
芝山岩,站牌代碼 747,25.101209,121.536684
行天宮,站牌代碼 1253,25.063514,121.532937
木柵公園,站牌代碼 2405,24.986944,121.560917
新生公園,站牌代碼 4101,25.068377,121.531234
全安里,站牌代碼 59003,25.026737,121.549944
承德公館路口,站牌代碼 22,25.118853,121.50191
無尾崙,站牌代碼 1001319,25.152426,121.527372
吳厝,站牌代碼 1001792,25.14758,121.53746
華齡街,站牌代碼 7253,25.083066,121.519629
行義路,站牌代碼 7214,25.130597,121.527982
永春橋,站牌代碼 380,25.1549,121.505441
捷運奇岩站,站牌代碼 367,25.126922,121.500659
捷運明德站(東�,站牌代碼 375,25.109864,121.519245
振興醫院,站牌代碼 412,25.118188,121.522351
紗帽橋,站牌代碼 785,25.148057,121.533504
公館山,站牌代碼 1006,25.071988,121.580951
南港輪胎,站牌代碼 1685,25.053324,121.600756
興隆山莊,站牌代碼 2535,24.991387,121.558692
基湖站,站牌代碼 8405,25.080189,121.564938
大業路(農禪寺),站牌代碼 37,25.12286,121.499133
關渡,站牌代碼 35,25.12488,121.46523
福德祠,站牌代碼 906,25.128913,121.574638
象頭埔,站牌代碼 2480,25.001717,121.588451
基湖路口,站牌代碼 8403,25.080533,121.565934
三角公園,站牌代碼 56089,24.983451,121.579916
名山里,站牌代碼 1001351,25.102449,121.528958
玉成里(東新街),站牌代碼 1011787,25.0509,121.583
保德里,站牌代碼 1776,25.024103,121.497207
崁頂,站牌代碼 1000520,25.02539,121.513171
幽雅路7號,站牌代碼 234,25.137241,121.513566
麗寶大樓,站牌代碼 1156,25.070289,121.582574
石牌國小,站牌代碼 154,25.114347,121.513156
熱海大飯店,站牌代碼 1001794,25.13615,121.509028
圓山新城一,站牌代碼 1000175,25.082444,121.540087
長安東路二段,站牌代碼 1000163,25.049534,121.533116
下過溪,站牌代碼 603,25.141197,121.568785
南港軟體園區(�,站牌代碼 4111,25.058087,121.614063
天母公園,站牌代碼 4991,25.124714,121.530563
新北投,站牌代碼 7212,25.13769,121.50434
泉州街,站牌代碼 3907,25.02801,121.51419
達人女中(臺灣�,站牌代碼 8633,25.08132,121.58718
玉成里(東新街),站牌代碼 1001786,25.0508,121.58272
大業路(大興街�,站牌代碼 41,25.12909,121.49742
仁寶大樓,站牌代碼 1007,25.079102,121.568664
景福宮,站牌代碼 7606,25.067296,121.525829
湖興,站牌代碼 8664,25.067862,121.590854
力行新城,站牌代碼 9443,25.08372,121.53797
園區街,站牌代碼 50106,25.059093,121.612693
捷運東門站1,站牌代碼 200005000,25.03422,121.527565
小南門(和平院�,站牌代碼 58,25.036841,121.508728
